country,subregion,region
India,Southern Asia,indiansub
Maldives,Southern Asia,indiansub
Nepal,Southern Asia,indiansub
Pakistan,Southern Asia,indiansub
Siachen Glacier,Southern Asia,indiansub
Sri Lanka,Southern Asia,indiansub
Afghanistan,Southern Asia,mideast
Armenia,Western Asia,mideast
Azerbaijan,Western Asia,mideast
Bahrain,Western Asia,mideast
Georgia,Western Asia,mideast
Iran,Southern Asia,mideast
Iraq,Western Asia,mideast
Israel,Western Asia,mideast
Jordan,Western Asia,mideast
Kuwait,Western Asia,mideast
Lebanon,Western Asia,mideast
Northern Cyprus,Western Asia,mideast
Oman,Western Asia,mideast
Palestine,Western Asia,mideast
Qatar,Western Asia,mideast
Saudi Arabia,Western Asia,mideast
Syria,Western Asia,mideast
Turkey,Western Asia,mideast
United Arab Emirates,Western Asia,mideast
Yemen,Western Asia,mideast
Algeria,Northern Africa,nafrica
Egypt,Northern Africa,nafrica
Libya,Northern Africa,nafrica
Morocco,Northern Africa,nafrica
Sudan,Northern Africa,nafrica
Tunisia,Northern Africa,nafrica
Western Sahara,Northern Africa,nafrica
Brunei,South-Eastern Asia,seasia
Cambodia,South-Eastern Asia,seasia
East Timor,South-Eastern Asia,seasia
Indonesia,South-Eastern Asia,seasia
Laos,South-Eastern Asia,seasia
Malaysia,South-Eastern Asia,seasia
Myanmar,South-Eastern Asia,seasia
Philippines,South-Eastern Asia,seasia
Singapore,South-Eastern Asia,seasia
Thailand,South-Eastern Asia,seasia
Vietnam,South-Eastern Asia,seasia
Angola,Middle Africa,ssafrica
Benin,Western Africa,ssafrica
Botswana,Southern Africa,ssafrica
Burkina Faso,Western Africa,ssafrica
Burundi,Eastern Africa,ssafrica
Cabo Verde,Western Africa,ssafrica
Cameroon,Middle Africa,ssafrica
Central African Republic,Middle Africa,ssafrica
Chad,Middle Africa,ssafrica
Comoros,Eastern Africa,ssafrica
Democratic Republic of the Congo,Middle Africa,ssafrica
Djibouti,Eastern Africa,ssafrica
Equatorial Guinea,Middle Africa,ssafrica
Eritrea,Eastern Africa,ssafrica
Ethiopia,Eastern Africa,ssafrica
Gabon,Middle Africa,ssafrica
Gambia,Western Africa,ssafrica
Ghana,Western Africa,ssafrica
Guinea,Western Africa,ssafrica
Guinea-Bissau,Western Africa,ssafrica
Ivory Coast,Western Africa,ssafrica
Kenya,Eastern Africa,ssafrica
Lesotho,Southern Africa,ssafrica
Liberia,Western Africa,ssafrica
Madagascar,Eastern Africa,ssafrica
Malawi,Eastern Africa,ssafrica
Mali,Western Africa,ssafrica
Mauritania,Western Africa,ssafrica
Mauritius,Eastern Africa,ssafrica
Mozambique,Eastern Africa,ssafrica
Namibia,Southern Africa,ssafrica
Niger,Western Africa,ssafrica
Nigeria,Western Africa,ssafrica
Republic of the Congo,Middle Africa,ssafrica
Rwanda,Eastern Africa,ssafrica
Saint Helena,Western Africa,ssafrica
Senegal,Western Africa,ssafrica
Seychelles,Eastern Africa,ssafrica
Sierra Leone,Western Africa,ssafrica
Somalia,Eastern Africa,ssafrica
Somaliland,Eastern Africa,ssafrica
South Africa,Southern Africa,ssafrica
South Sudan,Eastern Africa,ssafrica
São Tomé and Principe,Middle Africa,ssafrica
Togo,Western Africa,ssafrica
Uganda,Eastern Africa,ssafrica
United Republic of Tanzania,Eastern Africa,ssafrica
Zambia,Eastern Africa,ssafrica
Zimbabwe,Eastern Africa,ssafrica
eSwatini,Southern Africa,ssafrica
Kazakhstan,Central Asia,steppe
Kyrgyzstan,Central Asia,steppe
Mongolia,Eastern Asia,steppe
Tajikistan,Central Asia,steppe
Turkmenistan,Central Asia,steppe
Uzbekistan,Central Asia,steppe
